OID_,Sheet1__Name,Sheet1__City,Sheet1__Province,Sheet1__Contact,Sheet1__Other,city_Point_OBJECTID,city_Point_省代码,city_Point_省,city_Point_市代码,city_Point_市,city_Point_类型,city_Point_ORIG_FID,city_Point_lon,city_Point_lat,lat84,lon84
159,,温州市,浙江,,温州应该有队伍,90,330000,浙江省,330300,温州市,地级市,89,13407368.0000000,3236840.0000000,27.903716043677189,120.440435942149819
160,无锡职业技术学院 INFINITY 锡职飞盘,无锡市,江苏,微信号：WXITUltimateFrisbee,,76,320000,江苏省,320200,无锡市,地级市,75,13366779.0000000,3701300.0000000,31.526380368962723,120.075818751478522
161,江南大学极限飞盘社,无锡市,江苏,微信号: JUUF2018,,76,320000,江苏省,320200,无锡市,地级市,75,13366779.0000000,3701300.0000000,31.526380368962723,120.075818751478522
162,中国地质大学（武汉）极限飞盘协会,武汉市,湖北,微信号：cugfeipan,,169,420000,湖北省,420100,武汉市,副省级市,168,12728600.0000000,3583958.7500000,30.623572458491516,114.342959254437403
163,中南财经政法大学airwoo极限飞盘社,武汉市,湖北,,没找到公众号，但是有微博账号 “武汉中南财经政法大学飞盘协会”,169,420000,湖北省,420100,武汉市,副省级市,168,12728600.0000000,3583958.7500000,30.623572458491516,114.342959254437403
164,湖北工业大学极限拓展社,武汉市,湖北,,没找到。,169,420000,湖北省,420100,武汉市,副省级市,168,12728600.0000000,3583958.7500000,30.623572458491516,114.342959254437403
165,华中科技大学 firefly 华科飞盘,武汉市,湖北,,归属学生会,169,420000,湖北省,420100,武汉市,副省级市,168,12728600.0000000,3583958.7500000,30.623572458491516,114.342959254437403
166,武汉大学,武汉市,湖北,,无公众号。,169,420000,湖北省,420100,武汉市,副省级市,168,12728600.0000000,3583958.7500000,30.623572458491516,114.342959254437403
167,武汉理工大学Air Lee飞盘队,武汉市,湖北,,,169,420000,湖北省,420100,武汉市,副省级市,168,12728600.0000000,3583958.7500000,30.623572458491516,114.342959254437403
168,华中师范大学,武汉市,湖北,小鸿 | 微信号：zhanhong-CCNU,,169,420000,湖北省,420100,武汉市,副省级市,168,12728600.0000000,3583958.7500000,30.623572458491516,114.342959254437403
169,西安外事学院 pioneer 飞盘社,西安市,陕西,公众号从属学校,,308,610000,陕西省,610100,西安市,副省级市,307,12110654.0000000,4043168.5000000,34.106925048694173,108.791855888832188
170,西安欧亚学院,西安市,陕西,公众号从属学校,,308,610000,陕西省,610100,西安市,副省级市,307,12110654.0000000,4043168.5000000,34.106925048694173,108.791855888832188
171,西京学院,西安市,陕西,公众号从属学校,,308,610000,陕西省,610100,西安市,副省级市,307,12110654.0000000,4043168.5000000,34.106925048694173,108.791855888832188
172,西安文理学院,西安市,陕西,微信号：gh_cb7b73ae05a0,,308,610000,陕西省,610100,西安市,副省级市,307,12110654.0000000,4043168.5000000,34.106925048694173,108.791855888832188
173,西安石油大学,西安市,陕西,公众号归属学校,,308,610000,陕西省,610100,西安市,副省级市,307,12110654.0000000,4043168.5000000,34.106925048694173,108.791855888832188
174,西安体育大学,西安市,陕西,微信号：XT-Ultimate,,308,610000,陕西省,610100,西安市,副省级市,307,12110654.0000000,4043168.5000000,34.106925048694173,108.791855888832188
175,西安交通大学极限飞盘社,西安市,陕西,微信号: XJTU_Frisbee,,308,610000,陕西省,610100,西安市,副省级市,307,12110654.0000000,4043168.5000000,34.106925048694173,108.791855888832188
176,陕西科技大学镐京学院,西安市,陕西,公众号归属学校,,308,610000,陕西省,610100,西安市,副省级市,307,12110654.0000000,4043168.5000000,34.106925048694173,108.791855888832188
177,西北政法大学极限飞盘协会,西安市,陕西,公众号归属学校,,308,610000,陕西省,610100,西安市,副省级市,307,12110654.0000000,4043168.5000000,34.106925048694173,108.791855888832188
178,西安翻译学院,西安市,陕西,公众号归属学校,,308,610000,陕西省,610100,西安市,副省级市,307,12110654.0000000,4043168.5000000,34.106925048694173,108.791855888832188
179,西安电子科技大学 UXDC 飞盘社,西安市,陕西,,,308,610000,陕西省,610100,西安市,副省级市,307,12110654.0000000,4043168.5000000,34.106925048694173,108.791855888832188
180,西安建筑科技大学华清学院 西建大华清飞盘社,西安市,陕西,微信号: hqnewb,,308,610000,陕西省,610100,西安市,副省级市,307,12110654.0000000,4043168.5000000,34.106925048694173,108.791855888832188
181,西安肉夹馍队,西安市,陕西,负责人：虹姐丨微信号：wenzi40000,,308,610000,陕西省,610100,西安市,副省级市,307,12110654.0000000,4043168.5000000,34.106925048694173,108.791855888832188
182,西藏民族大学,咸阳市,陕西,公众号从属学校,,311,610000,陕西省,610400,咸阳市,地级市,310,12065972.0000000,4134639.2500000,34.784538867703617,108.390470653581900
183,Club7,香港特别行政区,香港特别行政区,,,370,810000,香港特别行政区,810000,香港特别行政区,特别行政区,369,12705375.0000000,2557363.7500000,22.381274275021870,114.134325529700646
184,CIS,香港特别行政区,香港特别行政区,,,370,810000,香港特别行政区,810000,香港特别行政区,特别行政区,369,12705375.0000000,2557363.7500000,22.381274275021870,114.134325529700646
185,Junk,香港特别行政区,香港特别行政区,,,370,810000,香港特别行政区,810000,香港特别行政区,特别行政区,369,12705375.0000000,2557363.7500000,22.381274275021870,114.134325529700646
186,DoubleT,香港特别行政区,香港特别行政区,,,370,810000,香港特别行政区,810000,香港特别行政区,特别行政区,369,12705375.0000000,2557363.7500000,22.381274275021870,114.134325529700646
187,玉林北流飞盘小队,玉林市,广西,微信号：jjl729756535,,229,450000,广西壮族自治区,450900,玉林市,地级市,228,12265343.0000000,2564590.2500000,22.441287926920083,110.181450818683828
188,长春白鹿极限飞盘队,长春市,吉林,高山流水丨微信号：H152463789,因场地限制，校外人员训练请先联系负责人,52,220000,吉林省,220100,长春市,副省级市,51,14000334.0000000,5525036.5000000,44.383844943796888,125.767140149781966
189,湖南大学,长沙市,湖南,微信号：hdfpjlb,,186,430000,湖南省,430100,长沙市,地级市,185,12596142.0000000,3277612.0000000,28.226908517544960,113.153068795398369
190,中南大学,长沙市,湖南,微信号：CSUfrisbee,,186,430000,湖南省,430100,长沙市,地级市,185,12596142.0000000,3277612.0000000,28.226908517544960,113.153068795398369
191,湘北,长沙市,湖南,,,186,430000,湖南省,430100,长沙市,地级市,185,12596142.0000000,3277612.0000000,28.226908517544960,113.153068795398369
192,赤焰,长沙市,湖南,,（出队打比赛一般叫烈火）,186,430000,湖南省,430100,长沙市,地级市,185,12596142.0000000,3277612.0000000,28.226908517544960,113.153068795398369
193,1970,长沙市,湖南,,无公众号。,186,430000,湖南省,430100,长沙市,地级市,185,12596142.0000000,3277612.0000000,28.226908517544960,113.153068795398369
194,湖南第一师范学院,长沙市,湖南,,无公众号。,186,430000,湖南省,430100,长沙市,地级市,185,12596142.0000000,3277612.0000000,28.226908517544960,113.153068795398369
195,中南林业科技大学,长沙市,湖南,,无公众号。,186,430000,湖南省,430100,长沙市,地级市,185,12596142.0000000,3277612.0000000,28.226908517544960,113.153068795398369
196,湖南农业大学 枭龙,长沙市,湖南,微信号：xionglongfeipan,,186,430000,湖南省,430100,长沙市,地级市,185,12596142.0000000,3277612.0000000,28.226908517544960,113.153068795398369
197,长沙民政学院,长沙市,湖南,,无公众号。,186,430000,湖南省,430100,长沙市,地级市,185,12596142.0000000,3277612.0000000,28.226908517544960,113.153068795398369
198,长沙飞盘,长沙市,湖南,微信号：csfpxh,（隶属长沙市飞盘运动协会）,186,430000,湖南省,430100,长沙市,地级市,185,12596142.0000000,3277612.0000000,28.226908517544960,113.153068795398369
199,长沙极限飞盘,长沙市,湖南,微信号：cs-ultimate,,186,430000,湖南省,430100,长沙市,地级市,185,12596142.0000000,3277612.0000000,28.226908517544960,113.153068795398369
200,聚星村 · 长沙,长沙市,湖南,公众号：聚星村飞盘俱乐部 微信号：jxcfpjlb ,格外照顾新人,186,430000,湖南省,430100,长沙市,地级市,185,12596142.0000000,3277612.0000000,28.226908517544960,113.153068795398369
201,郑州升达经贸管理学院 昇達极限飞盘,郑州市,河南,微信号：SDUltimate666,,151,410000,河南省,410100,郑州市,地级市,150,12631309.0000000,4113424.5000000,34.627870331203930,113.468979331364693
202,郑州西亚斯学院 西亚斯黄帝极限飞盘社,郑州市,河南,微信号：gh_313d7ebd12f3,,151,410000,河南省,410100,郑州市,地级市,150,12631309.0000000,4113424.5000000,34.627870331203930,113.468979331364693
203,郑州轻工业大学易斯顿美术学院,郑州市,河南,微信号：gh_d1cc6ffee388,,151,410000,河南省,410100,郑州市,地级市,150,12631309.0000000,4113424.5000000,34.627870331203930,113.468979331364693
204,重庆师范大学涉外商贸学院飞盘协会,重庆市,重庆,微信号：gh_82f25ba0105c,,254,500000,重庆市,500000,重庆市,直辖市,253,12008524.0000000,3510907.5000000,30.057223394266341,107.874406489160918
205,重庆第二师范学院飞盘协会,重庆市,重庆,微信号：gh_18a7714dc79f,,254,500000,重庆市,500000,重庆市,直辖市,253,12008524.0000000,3510907.5000000,30.057223394266341,107.874406489160918
206,重庆飞盘活动群,重庆市,重庆,负责人：站森丨微信号： Gibbs-F,,254,500000,重庆市,500000,重庆市,直辖市,253,12008524.0000000,3510907.5000000,30.057223394266341,107.874406489160918
207,重庆大学 CQUF 飞盘大队,重庆市,重庆,微信号：chongdafrisbee,,254,500000,重庆市,500000,重庆市,直辖市,253,12008524.0000000,3510907.5000000,30.057223394266341,107.874406489160918
208,北师珠 Griffins 极限飞盘队,珠海市,广东,公众号：BNUZ-Ultimate,,203,440000,广东省,440400,珠海市,地级市,202,12618837.0000000,2531959.5000000,22.170095353251043,113.356941449129295
209,北师大香港浸会联合国际学院 UIC-7,珠海市,广东,公众号：uic_frisbee,,203,440000,广东省,440400,珠海市,地级市,202,12618837.0000000,2531959.5000000,22.170095353251043,113.356941449129295
